RedConApproac,RedHeteroApproach,RedConPassby,RedHeteroPassby,RedConAttack,RedHeteroAttack,YellowConspeApproach,YellowHeteroApproach,YellowConPassby,YellowHeteroPassby,YellowConAttack,YellowHeteroAttack
2,4,2,4,0,0,0,10,0,0,0,10
1,12,1,11,0,1,4,11,2,5,1,6
1,1,1,1,0,0,2,1,0,1,0,0
6,0,6,0,0,0,5,0,0,0,4,0
2,2,2,2,0,0,0,2,0,2,0,0
3,0,3,0,0,0,5,0,0,0,5,0
7,4,6,4,1,0,4,3,0,1,3,2
3,5,3,5,0,0,1,5,0,5,1,0
5,3,5,3,0,0,10,1,1,1,9,0
10,0,10,0,0,0,11,0,1,0,10,0
5,1,5,1,0,0,9,2,0,2,8,0
2,0,2,0,0,0,15,0,2,0,13,0
2,1,2,1,0,0,3,2,2,1,1,1
4,1,4,0,0,1,6,3,2,0,3,2
3,1,2,1,1,0,5,3,2,0,2,2
5,4,5,4,0,0,7,4,2,1,3,2
7,7,7,7,0,0,5,2,3,2,2,0
10,4,10,3,0,1,5,0,2,0,2,0
5,2,5,2,0,0,14,0,1,0,1,0
7,4,7,4,0,0,4,3,3,3,1,0
4,1,3,1,1,0,1,0,0,0,0,0
5,1,5,1,0,0,4,1,3,1,1,0
0,1,0,1,0,0,2,2,0,2,2,0
2,0,2,0,0,0,0,7,0,3,0,4
4,1,4,1,0,0,6,3,1,2,5,1
1,4,1,4,0,0,1,3,0,3,1,0
2,3,2,3,0,0,1,1,1,1,0,0
0,2,0,2,0,0,0,2,0,1,0,1
0,2,0,2,0,0,1,4,1,4,0,0
1,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,6,1,1,0,4,1
1,0,1,0,0,0,4,0,1,0,3,0
1,1,1,1,0,0,3,1,1,0,2,1
4,5,4,5,0,0,3,1,1,0,2,1
7,7,7,6,0,1,2,2,1,0,1,2
11,4,11,4,0,0,13,6,3,2,10,4
8,0,8,0,0,0,8,0,0,0,8,0
4,0,4,0,0,0,8,2,4,2,4,0
9,1,9,1,0,0,6,0,4,0,2,0
4,0,1,0,3,0,12,0,0,0,5,0
12,0,11,0,1,0,3,0,1,0,0,0
5,2,5,2,0,0,2,1,1,1,1,0
6,2,6,2,0,0,4,1,2,1,2,0
1,8,1,8,0,0,3,3,1,2,2,0
4,0,3,0,1,0,8,2,1,2,7,0
6,0,6,0,0,0,11,1,3,1,8,0
5,1,5,1,0,0,11,2,1,2,10,0
12,1,12,1,0,0,26,4,2,4,24,0
17,1,16,1,1,0,13,1,1,1,11,0
11,1,11,1,0,0,12,3,7,1,5,2
15,1,15,1,0,0,24,2,13,2,11,0
16,0,16,0,0,0,5,0,2,0,3,0
