RedConApproac,RedHeteroApproach,RedConPassby,RedHeteroPassby,RedConAttack,RedHeteroAttack,YellowConApproach,YellowHeteroApproach,YellowConPassby,YellowHeteroPassby,YellowConAttack,YellowHeteroAttack
1,3,0,3,1,0,0,1,0,1,0,0
2,6,1,6,1,0,0,1,0,1,0,0
2,0,1,0,1,0,8,2,1,1,5,1
8,1,5,1,3,0,2,0,2,0,0,0
6,2,3,2,3,0,2,0,1,0,1,0
1,1,1,1,0,0,10,2,6,1,4,1
7,0,3,0,4,0,10,0,2,0,2,0
11,3,10,3,1,0,11,1,2,0,5,1
5,1,2,1,3,0,7,0,3,0,4,0
6,0,5,0,1,0,6,0,1,0,3,0
5,0,3,0,2,0,14,0,4,0,7,0
2,0,0,0,2,0,5,0,3,0,1,0
2,3,2,3,0,0,0,4,0,4,0,0
1,1,1,1,0,0,0,0,0,0,0,0
1,5,1,4,0,1,3,0,0,0,0,0
0,5,0,5,0,0,3,0,1,0,2,0
5,3,5,3,0,0,15,3,0,3,14,0
0,1,0,1,0,0,10,2,0,1,9,1
12,3,11,3,1,0,9,1,2,1,6,0
9,1,9,1,0,0,15,7,5,4,10,3
1,0,1,0,0,0,5,4,2,2,3,2
9,0,9,0,0,0,16,0,5,0,11,0
10,8,10,7,0,1,19,0,4,0,14,0
20,2,19,2,1,0,23,0,1,0,22,0
17,0,13,0,4,0,15,0,4,0,10,0
4,2,4,2,0,0,6,10,3,7,1,3
4,0,4,0,0,0,4,2,2,2,1,0
2,0,2,0,0,0,3,0,1,0,1,0
0,1,0,1,0,0,1,1,0,1,1,0
0,7,0,7,0,0,0,2,0,2,0,0
0,1,0,1,0,0,1,1,0,1,0,0
0,2,0,2,0,0,0,0,0,0,0,0
7,6,6,6,1,0,9,1,1,1,8,0
6,2,6,2,0,0,10,0,1,0,9,0
2,0,0,0,0,0,7,2,1,1,6,1
7,0,3,0,3,0,10,0,7,0,3,0
2,0,2,0,0,0,11,1,1,0,10,0
9,3,6,3,3,0,2,1,0,1,2,0
5,2,3,2,1,0,1,0,0,0,1,0
0,0,0,0,0,0,5,0,2,0,3,0
9,1,9,1,0,0,6,3,4,1,2,2
3,0,3,0,0,0,3,1,3,0,0,1
11,1,10,1,1,0,1,1,0,0,0,1
16,1,16,1,0,0,8,0,3,0,5,0
1,0,0,0,1,0,8,0,1,0,6,0
12,0,9,0,3,0,5,2,5,1,0,1
7,0,3,0,4,0,4,0,3,0,1,0
0,0,0,0,0,0,4,0,0,0,3,0
