,patch1,patch2,dS,dL
1,Juvenile.01,Juvenile.02,2.40946168,1.0113486
2,Juvenile.01,Juvenile.03,0.3714354,1.5888963
3,Juvenile.01,Juvenile.04,1.244004774,8.1178302
4,Juvenile.01,Juvenile.05,1.524535487,1.368226
5,Juvenile.01,Juvenile.06,2.079754082,0.8625992
6,Juvenile.01,Juvenile.07,2.627275327,2.1916173
7,Juvenile.01,Juvenile.08,1.670620036,0.1331205
8,Juvenile.01,Juvenile.09,3.074976015,0.1021766
9,Juvenile.01,Juvenile.10,1.66926452,0.9384591
10,Juvenile.01,Juvenile.11,2.418215001,1.4404414
11,Juvenile.01,Juvenile.12,0.133231033,0.1505254
12,Juvenile.01,Juvenile.13,1.76618428,4.9173066
13,Juvenile.01,Juvenile.14,2.082538956,3.7366219
14,Juvenile.01,Juvenile.15,0.623306715,2.0894184
15,Juvenile.01,Juvenile.16,1.167426747,1.501299
16,Juvenile.01,Juvenile.17,2.434015888,9.8448053
17,Juvenile.01,Adult.01,4.201837902,3.8977197
18,Juvenile.01,Adult.02,4.889371948,4.7317137
19,Juvenile.01,Adult.03,1.809550987,0.428937
20,Juvenile.01,Adult.04,4.410257604,3.4981716
21,Juvenile.01,Adult.05,4.721340873,4.1288883
22,Juvenile.01,Adult.06,4.019107619,4.8739141
23,Juvenile.01,Adult.07,3.973054351,0.920562
24,Juvenile.01,Adult.8,4.301847872,5.066119
25,Juvenile.01,Adult.9,4.952775175,2.3508571
26,Juvenile.01,Adult.10,5.219803173,6.7869556
27,Juvenile.01,Adult.11,5.15368166,1.3907495
28,Juvenile.01,Adult.12,5.097410216,3.2483296
29,Juvenile.01,Adult.13,5.11111011,1.3562296
30,Juvenile.01,Adult.14,3.937768442,0.1007179
31,Juvenile.01,Adult.15,4.329618276,1.2829927
32,Juvenile.01,Adult.16,4.95484008,6.1664309
33,Juvenile.01,Adult.17,5.047655963,0.1049369
34,Juvenile.01,Background.1,0.232880189,4.7202014
35,Juvenile.01,Background.2,1.707501922,5.3604237
36,Juvenile.01,Background.3,3.112220942,2.6661147
37,Juvenile.01,Background.4,2.033578007,3.8977112
38,Juvenile.01,Background.5,1.360249758,8.7619975
39,Juvenile.01,Background.7,3.346896943,5.7413632
40,Juvenile.01,Background.8,1.742038838,5.0683173
41,Juvenile.01,Background.9,2.479700558,8.4954552
42,Juvenile.01,Background.10,2.10922738,5.9994072
43,Juvenile.01,Background.11,3.405327615,6.5576272
44,Juvenile.01,Background.12,3.689639991,0.3720457
45,Juvenile.01,Background.13,3.16018026,3.3514132
46,Juvenile.01,Background.14,3.323506705,4.0194339
47,Juvenile.01,Background.15,3.268800683,8.6817658
48,Juvenile.01,Background.16,1.108290914,5.5663171
49,Juvenile.01,Background.17,0.974988386,0.8217139
50,Juvenile.01,Background.18,1.676823315,9.0966139
51,Juvenile.01,Background.19,0.801228031,1.6467094
52,Juvenile.01,Background.21,2.77108996,3.5155362
53,Juvenile.01,Background.22,0.959644669,6.9083215
54,Juvenile.01,Background.24,0.696522619,3.7679319
55,Juvenile.01,Background.25,1.86587217,3.671586
56,Juvenile.01,Background.26,1.526810322,6.8701779
57,Juvenile.01,Background.27,4.347250052,5.2154797
58,Juvenile.01,Background.28,1.248079782,4.9204547
59,Juvenile.01,Background.29,3.186932998,4.0314441
60,Juvenile.01,Background.30,2.648959608,5.8979271
61,Juvenile.01,Background.31,2.543119433,5.3356404
62,Juvenile.01,Background.32,1.934576752,6.6421119
63,Juvenile.01,Background.33,0.860507794,5.4440916
69,Juvenile.02,Juvenile.03,2.062149404,2.6002449
70,Juvenile.02,Juvenile.04,3.653220727,9.1291788
71,Juvenile.02,Juvenile.05,0.894090283,2.3795746
72,Juvenile.02,Juvenile.06,0.335004138,0.1487494
73,Juvenile.02,Juvenile.07,0.239160735,1.1802687
74,Juvenile.02,Juvenile.08,0.742007349,1.1444691
75,Juvenile.02,Juvenile.09,0.666191247,1.1135252
76,Juvenile.02,Juvenile.10,0.796803846,0.0728895
77,Juvenile.02,Juvenile.11,0.088279798,0.4290928
78,Juvenile.02,Juvenile.12,2.356439801,1.161874
79,Juvenile.02,Juvenile.13,0.643277539,5.9286552
80,Juvenile.02,Juvenile.14,0.329093494,4.7479705
81,Juvenile.02,Juvenile.15,1.786446458,1.0780697
82,Juvenile.02,Juvenile.16,1.243007427,2.5126476
83,Juvenile.02,Juvenile.17,0.02706388,10.8561539
84,Juvenile.02,Adult.01,1.793689397,4.9090683
85,Juvenile.02,Adult.02,2.48003691,5.7430623
86,Juvenile.02,Adult.03,0.628398375,0.5824116
87,Juvenile.02,Adult.04,2.001145885,4.5095203
88,Juvenile.02,Adult.05,2.31278848,5.1402369
89,Juvenile.02,Adult.06,1.611348314,5.8852627
90,Juvenile.02,Adult.07,1.564211182,1.9319106
91,Juvenile.02,Adult.8,1.893411901,6.0774677
92,Juvenile.02,Adult.9,2.546882318,3.3622058
93,Juvenile.02,Adult.10,2.811092826,7.7983042
94,Juvenile.02,Adult.11,2.748605224,2.4020982
95,Juvenile.02,Adult.12,2.690955237,4.2596782
96,Juvenile.02,Adult.13,2.705187868,2.3675782
97,Juvenile.02,Adult.14,1.528396813,1.1120665
98,Juvenile.02,Adult.15,1.923055746,2.2943413
99,Juvenile.02,Adult.16,2.5487107,7.1777795
100,Juvenile.02,Adult.17,2.64341902,0.9064117
101,Juvenile.02,Background.1,2.303679313,3.7088528
102,Juvenile.02,Background.2,0.703120918,4.349075
103,Juvenile.02,Background.3,0.707170103,1.6547661
104,Juvenile.02,Background.4,0.411291144,2.8863626
105,Juvenile.02,Background.5,1.049464421,7.7506489
106,Juvenile.02,Background.7,0.937625203,4.7300146
107,Juvenile.02,Background.8,0.686974228,4.0569687
108,Juvenile.02,Background.9,0.091397041,7.4841066
109,Juvenile.02,Background.10,0.316127645,4.9880586
110,Juvenile.02,Background.11,0.997009406,5.5462786
111,Juvenile.02,Background.12,1.280458781,0.6393029
112,Juvenile.02,Background.13,0.756477694,2.3400646
113,Juvenile.02,Background.14,5.726038105,3.0080853
114,Juvenile.02,Background.15,0.859657414,7.6704171
115,Juvenile.02,Background.16,1.305513716,4.5549684
116,Juvenile.02,Background.17,1.435294559,1.8330625
117,Juvenile.02,Background.18,4.060823648,8.0852653
118,Juvenile.02,Background.19,2.942575037,0.6353607
119,Juvenile.02,Background.21,0.372271974,2.5041876
120,Juvenile.02,Background.22,1.601480542,5.8969729
121,Juvenile.02,Background.24,1.876118163,2.7565833
122,Juvenile.02,Background.25,0.631169338,2.6602373
123,Juvenile.02,Background.26,0.88265171,5.8588293
124,Juvenile.02,Background.27,1.939597981,4.2041311
125,Juvenile.02,Background.28,3.657194609,3.909106
126,Juvenile.02,Background.29,0.779967541,3.0200955
127,Juvenile.02,Background.30,5.058022314,4.8865784
128,Juvenile.02,Background.31,0.25831087,4.3242917
129,Juvenile.02,Background.32,0.611350625,5.6307633
130,Juvenile.02,Background.33,3.261653405,4.4327429
136,Juvenile.03,Juvenile.04,1.597155209,6.5289339
137,Juvenile.03,Juvenile.05,1.170417356,0.2206703
138,Juvenile.03,Juvenile.06,1.73714232,2.4514955
139,Juvenile.03,Juvenile.07,2.274417179,3.7805136
140,Juvenile.03,Juvenile.08,1.320326047,1.4557758
141,Juvenile.03,Juvenile.09,2.728323944,1.4867197
142,Juvenile.03,Juvenile.10,1.30611201,2.5273554
143,Juvenile.03,Juvenile.11,2.065979474,3.0293377
144,Juvenile.03,Juvenile.12,0.294789743,1.4383708
145,Juvenile.03,Juvenile.13,1.420533392,3.3284103
146,Juvenile.03,Juvenile.14,1.738423125,2.1477257
147,Juvenile.03,Juvenile.15,0.29185784,3.6783146
148,Juvenile.03,Juvenile.16,0.820697926,0.0875972
149,Juvenile.03,Juvenile.17,2.087333221,8.255909
150,Juvenile.03,Adult.01,3.850076411,2.3088235
151,Juvenile.03,Adult.02,4.539147258,3.1428174
152,Juvenile.03,Adult.03,1.478848653,2.0178333
153,Juvenile.03,Adult.04,4.059679942,1.9092754
154,Juvenile.03,Adult.05,4.369667887,2.539992
155,Juvenile.03,Adult.06,3.673497677,3.2850178
156,Juvenile.03,Adult.07,3.626126005,0.6683342
157,Juvenile.03,Adult.8,3.95031944,3.4772228
158,Juvenile.03,Adult.9,4.59865011,0.7619609
159,Juvenile.03,Adult.10,4.868086484,5.1980593
160,Juvenile.03,Adult.11,4.798925342,0.1981467
161,Juvenile.03,Adult.12,4.74356461,1.6594333
162,Juvenile.03,Adult.13,4.756895973,0.2326666
163,Juvenile.03,Adult.14,3.58964943,1.4881784
164,Juvenile.03,Adult.15,3.976444739,0.3059036
165,Juvenile.03,Adult.16,4.600866969,4.5775346
166,Juvenile.03,Adult.17,4.692518442,1.6938331
167,Juvenile.03,Background.1,0.401301712,6.3090977
168,Juvenile.03,Background.2,1.365168482,6.9493199
169,Juvenile.03,Background.3,2.768102716,4.2550109
170,Juvenile.03,Background.4,1.699288185,5.4866075
